8=FIX4.4; 35=A; 34=1; 49=MTHREE; 56=MS; 52=2022-05-31-12:47:14; 108=30; 10=0015;
8=FIX4.4; 35=A; 34=1; 49=MS; 56=MTHREE; 52=2022-05-31-12:47:14; 108=30; 10=0016;
8=FIX4.4; 35=0; 34=2; 49=MTHREE; 56=MS; 52=2022-05-31-12:47:14; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=2; 49=MS; 56=MTHREE; 52=2022-05-31-12:47:14; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=3; 49=MTHREE; 56=MS; 52=2022-05-31-12:47:16; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=3; 49=MS; 56=MTHREE; 52=2022-05-31-12:47:16; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=4; 49=MTHREE; 56=MS; 52=2022-05-31-12:47:18; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=4; 49=MS; 56=MTHREE; 52=2022-05-31-12:47:18; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=5; 49=MTHREE; 56=MS; 52=2022-05-31-12:47:20; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=5; 49=MS; 56=MTHREE; 52=2022-05-31-12:47:20; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=6; 49=MTHREE; 56=MS; 52=2022-05-31-12:47:22; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=6; 49=MS; 56=MTHREE; 52=2022-05-31-12:47:22; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=7; 49=MTHREE; 56=MS; 52=2022-05-31-12:47:24; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=7; 49=MS; 56=MTHREE; 52=2022-05-31-12:47:24; 108=30; 10=0015;
